Title,Accession Number,Title2,Museum Name,Gallery Name,Object Type,Main Material,Medium,Manufacturing Technique,Main Artist,Artist's Nationality,Artist's Life Date / Bio Data,Author,Country,Provenance,Origin Place,Find Place,Scribe,Style,School,Patron/Dynasty,Period / Year of Work,Inscription,Mint,Weight,Brief Description,Detailed Description,Coin Description Obverse,Coin Description Reverse,Denomination,Dimensions,Component Material II,Tribe,Costume,Culture,Component Material III
Seated Goddess Type Coin (Debased Gold),AM-GC-96.57,Seated Goddess Type Coin of Hallakshan Varman,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Chandela,C. 11th Century CE,,Not Known,1.0200 gram,Seated Goddess Type Coin (Debased Gold) of Hallakshan Varman depicts four armed goddess and proto nagari legend.,Seated Goddess Type Coin (Debased Gold) of Hallakshan Varman depicts four armed goddess and proto nagari legend.,Four armed goddess seated. Quarter size coin.,"Proto Nagari legend of three lines. 1. """"Sri M Ha"""" 2. """"Kashana """" 3.  """"(Ma) Diva"""".",,1.15 cm,,,,,
Seated Goddess Type Coin,AM-GC-96.58,Seated Goddess Type Coin of Madan Verma Deva,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Chandela,C. 12th Century,,Not Known,0.9940 gram,Seated Goddess Type Coin of Madan Verma Deva depicts Four armed goddess and proto nagari legend.,Seated Goddess Type Coin of Madan Verma Deva depicts Four armed goddess and proto nagari legend.,Four armed goddess seated. Quarter size coin.,"Proto Nagari legend of three lines. 1. """"Sri Ma da"""" 2.""""Da n va"""" 3. """"(Diva)""""",,1.05 cm,,,,,
Seated Goddess Type Coin,AM-GC-96.59,Seated Goddess Type Coin of Madan Verma Deva,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Chandela,C. 12th Century CE,,Not Known,0.9330 gram,Seated Goddess Type Coin of Madan Verma Deva depicts four armed goddess and proto nagri legend.,Seated Goddess Type Coin of Madan Verma Deva depicts four armed goddess and proto nagri legend.,Four armed goddess seated. Quarter size coin.,"Proto Nagari legend of two lines. 1.""""Sri Ma (da)"""" 2. """"Da n va (ma)"""".",,1.15 cm,,,,,
Seated Goddess Type Coin,AM-GC-96.64,Seated Goddess Type Coin of Parmardi,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Chandela,C. 12th Century CE,,Not Known,4.0135 gram,Seated Goddess Type Coin of Parmardi depicts Four armed goddess and proto nagari lagend.,Seated Goddess Type Coin of Parmardi depicts Four armed goddess and proto nagari lagend.,Four armed goddess seated.,"Proto Nagari legend of two lines. 1. """"Sri Ma pa"""" 2. """"(R)? Ma Di"""".",,1.8 cm,,,,,
Seated Goddess Type Coin (Debased Gold),AM-GC-96.65,Seated Goddess Type Coin of Parmardi,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Chandela,C. 12th Century CE,,Not Known,0.9370 gram,Seated Goddess Type Coin (Debased Gold) depicts goddess and proto nagari legend.,Seated Goddess Type Coin (Debased Gold) depicts goddess and proto nagari legend.,Goddess seated. Quarter size coin.,"Proto Nagari legend of two lines. 1. """"(Sri) pa (M)"""" 2.""""(Da) Di (Di)"""".  """"(Sri Mad Parmardi Deva)"""".",,1.2 cm,,,,,
Seated Goddess Type Coin,AM-GC-96.66,Seated Goddess Type Coin of Parmardi,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Chandela,C. 12th Century CE,,Not Known,0.9880 gram,Seated Goddess Type Coin of Parmardi depicts four armed goddess and proto nagari legend.,Seated Goddess Type Coin of Parmardi depicts four armed goddess and proto nagari legend.,Four armed goddess seated. Quarter size coin.,"Proto Nagari legend of two lines. 1.""""(Sri) Ma (pa)"""" 2.""""(Ra) Ma (Di) """". """"(Sri Mad Parmardi Deva)"".",,1.2 cm,,,,,
Seated Goddess Type Coin (Debased Gold),AM-GC-96.67,Seated Goddess Type Coin of Veer Varman Deva,"Allahabad Museum, Allahabad",NA,Coin,Alloy,Alloy of Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Chandela,C. 12th Century CE,,Not Known,3.9894 gram,Seated Goddess Type Coin (Debased Gold) of Veer Varman Deva depicts Four armed goddess and proto nagari legend.,Seated Goddess Type Coin (Debased Gold) of Veer Varman Deva depicts Four armed goddess and proto nagari legend.,Four armed seated goddess.,"Proto Nagari legend of three lines. 1. ""Sri Ma vi"" 2. ""Ra va (R) Mma"" 3. ""Ra deva"".",,1.8 cm,Gold,,,,
Seated Goddess Type Coin (Debased Gold),AM-GC-96.68,Seated Goddess Type Coin of Kirtivarman Deva,"Allahabad Museum, Allahabad",NA,Coin,Gold,Alloy of Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Chandela,C. 11th Century CE,,Not Known,1.0170 gram,Seated Goddess Type Coin (Debased Gold) of Kirtivarman Deva depicts four armed goddess and proto nagari legend.,Seated Goddess Type Coin (Debased Gold) of Kirtivarman Deva depicts four armed goddess and proto nagari legend.,Four armed seated goddess. Quarter size coin.,"Proto Nagari legend of two lines. 1. """"(Sri) ma ke"""" 2.""""RRiti Va Ma"""".",,1.2 cm,,,,,
Seated Goddess Type Coin (Debased Gold),AM-GC-96.69,Seated Goddess Type Coin of Kirtivarman Deva,"Allahabad Museum, Allahabad",NA,Coin,Gold,Alloy of Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Chandela,C. 11th Century CE,,Not Known,0.9990 gram,Seated Goddess Type Coin (Debased Gold) of Kirtivarman Deva depicts four armed goddess and proto nagari legend.,Seated Goddess Type Coin (Debased Gold) of Kirtivarman Deva depicts four armed goddess and proto nagari legend.,Four armed seated goddess. Quarter size coin.,"Proto Nagari legend of two lines. 1. """"Sri ma ki"""" 2. """"RRiti Va Ma (De)"""".",,1.2 cm,,,,,
Seated Goddess Type Coin (Debased Gold),AM-GC-96.70,Seated Goddess Type Coin of Kirtivarman Deva,"Allahabad Museum, Allahabad",NA,Coin,Gold,Alloy of Gold,Casting,,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Chandela,C. 11th Century CE,,Not Known,2.0300 gram,Seated Goddess Type Coin (Debased Gold) of Kirtivarman Deva depicts four armed goddess and proto nagari legend.,Seated Goddess Type Coin (Debased Gold) of Kirtivarman Deva depicts four armed goddess and proto nagari legend.,Four armed seated goddess. Half size coin.,"Proto Nagari legend of two lines. 1. """"Sri mad ki"""" 2. """"RRiti Va Ma De"""".",,1.4 cm,,,,,
Seated Goddess Type Coin (Debased Gold),AM-GC-96.72,Seated Goddess Type Coin of Govindachandra Deva,"Allahabad Museum, Allahabad",NA,Coin,Alloy,Alloy of Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Gahadvala Dynasty of Kannauj,C. 12th Century CE,,Not Known,3.8924 gram,Seated Goddess Type Coin (Debased Gold) of Govindachandra Deva depicts four armed goddess and proto nagari legend.,Seated Goddess Type Coin (Debased Gold) of Govindachandra Deva depicts four armed goddess and proto nagari legend.,Four armed seated goddess.,"Proto Nagari legend of two lines. 1.""""Sri mad ga"""" 2. """"Vi Da Cha Da"""".  ""Sri Mad Govind Chandra Deva"""". Copper contents are much than gold.",,2.1 cm,,,,,
Seated Goddess Type Coin (Debased Gold),AM-GC-96.74,Seated Goddess Type Coin of Govindachandra Deva,"Allahabad Museum, Allahabad",NA,Coin,Gold,Alloy of Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Gahadvala Dynasty of Kannauj,C. 12th Century CE,,Not Known,1.0960 gram,Seated Goddess Type Coin (Debased Gold) of Govindachandra Deva four armed goddess and proto nagari legend.,Seated Goddess Type Coin (Debased Gold) of Govindachandra Deva four armed goddess and proto nagari legend.,Four armed seated goddess. Quarter size coin.,"Proto Nagari legend of two lines. 1.""Sri mad ga"" 2.""Vinda Cha da"".",,1.15 cm,,,,,
Seated Goddess Type Coin (Debased Gold),AM-GC-96.76,Seated Goddess Type Coin of Mohammed Bin Sam,"Allahabad Museum, Allahabad",NA,Coin,Gold,Alloy of Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Ghorid,C. 12th Century CE,,Not Known,4.2020 gram,Seated Goddess Type Coin (Debased Gold) of Mohammed Bin Sam depicts Four armed goddess and proto nagari legend.,Seated Goddess Type Coin (Debased Gold) of Mohammed Bin Sam depicts Four armed goddess and proto nagari legend.,Four armed seated goddess Lakshmi. Lower part of the coin is hammered.,"Proto Nagari legend of three lines. 1.""""Sri mu (hammed)"""" 2. """"Ma da vi"""" 3.""""Sam"""".",,2.1 cm,,,,,
Zodiac Sign Type Coin,AM-GC-96.77,Zodiac Sign Type Coin of Jahangir,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Mughal,C. 16th Century CE,,Not Known,11.9710 gram,Zodiac Sign Type Coin of Jahangir depicts Bull and persian legend.,Zodiac Sign Type Coin of Jahangir depicts Bull and persian legend.,Bull standing to left within a circle.,"Persian legend of four lines. """"Akbar Shah ay Jahangir Shah 1028 A.H. 14 zalus Agara dad, dar Agara Rua Zar Jiwar"""".",,2.1 cm,,,,,
Zodiac Sign Type Coin,AM-GC-96.78,Zodiac Sign Type Coin of Jahangir,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Mughal,C. 16th Century CE,,Not Known,10.8920 gram,Zodiac Sign Type Coin of Jahangir depicts man standing and Persian legend.,Zodiac Sign Type Coin of Jahangir depicts man standing and Persian legend.,Man standing facing front holding pitcher on his head.,"Persian legend of four lines. """"Akbar Shah ay Jahangir Shah, dar Agara Rua zor ziwar gulas 16,  1031 A.H"""".",,2 cm,,,,,
Elephant Rider and Slayer Type Coin,AM-GC-96.79,Elephant Rider and Slayer Type Coin of Kumargupta I,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Gupta,C. 4th Century CE,,Not Known,8.1710 gram,Elephant Rider and Slayer Type Coin of Kumargupta I depicts Elephant Rider and Slayer and goddess lakshmi.,Elephant Rider and Slayer Type Coin of Kumargupta I depicts Elephant Rider and Slayer and goddess lakshmi.,"Elephant Rider and Slayer Type Coin of Kumargupta Iwith an attendant and trampling on a lion at right near elephant trunk. Circular legend rather uncertain, but most probably ""Kshatari pu Kumargupta rajatrata jagati ripan"".","Within dotted circle Lakshmi nimbate, standing facing left towards peacock and holding in right hand some indistinct object before the peacock which is looking up towards it. Left hand rests on waist. The goddess is wearing a Sari tied round the waist and upper garments. No symbol. Legend partly on left and partly on right. ""Singhanihanta..."".",,1.9 cm,,,,,
Elephant Pagoda Type Coin,AM-GC-97.48,Elephant Pagoda Type Coin,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Kongani,C. 8th-12th Century CE,,Not Known,3.7480 gram,Elephant Pagoda Type Coin depicts Elephant and A scroll decoration.,Elephant Pagoda Type Coin depicts Elephant and A scroll decoration.,Elephant standing to right with heavy dotted decoration on its body.,A scroll decoration.,,1.4 cm,,,,,
Legend and Symbol Type Coin (Debased Gold),AM-GC-97.49,Legend and Symbol Type Coin,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Mithila Rulers,C. 14th-16th Century CE,,Not Known,0.9000 gram,Legend and Symbol Type Coin depicts nagari legend and symbol.,Legend and Symbol Type Coin depicts nagari legend and symbol.,"Nagari """"Sri"""" is written.",A symbol is depicted.,,1.9 cm,,,,,
Standing King Type Coin,AM-GC-97.89,Standing King Type Coin of Vasudeva II,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Kushana,C. 3rd Century CE,,Not Known,7.781 gram,Standing King Type Coin of Vasudeva II depicts king and God Shiva.,Standing King Type Coin of Vasudeva II depicts king and God Shiva.,King standing on altar holding a trident in his right hand and a spear in the upraised left hand. Face rubbed or hammered. Bactrian legend not visible.,"God Shiva standing before the bull, holding trident in his left hand, rosary (pasa?) in right above the head of bull. Symbol above the right hand. Legend ""Oeso"".",,2.1 cm,,,,,
Archer Type Coin,AM-GC-97.90,Archer Type Coin of Kumargupta I,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Gupta,C. 4th Century CE,,Not Known,8.0840 gram,Standing king and seated goddess type coin of kumargupta.,Standing king and seated goddess type coin of kumargupta.,"King standing facing left, holding a bow in his outstretched left hand with inwards string, Garuddhvaja at right. ""Ku"" with crescent under the left arm. Circular legend at the left is illegible.","Goddess seated holding pasa in her right hand and left rests on the knee. Symbol on right near the head, face rubbed. Legend ""Sri Maha...."".",,1.9 cm,,,,,
Battle Axe Type Coin,AM-GC-97.91,Battle Axe Type Coin of Samudragupta,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Gupta,C. 4th Century CE,,Not Known,7.6260 gram,Battle Axe Type Coin of Samudragupta depicts king and Goddess Lakshmi.,Battle Axe Type Coin of Samudragupta depicts king and Goddess Lakshmi.,"King nimbate standing facing right with an attendant at right, holding an axe in his left hand. Legend ""Samudra"" is written vertically under the left arm. Crescent at right above the right shoulder. There is a cut mark below the legend.","Goddess Lakshmi seated on lotus holding pasa in her right hand and lotus in the left . Brahami legend ""Kritant Parsu.."" begins from 1.  A certain symbol is depicted.",,2 cm,,,,,
Lyrist Type Coin,AM-GC-97.92,Lyrist Type Coin of Samudragupta,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,,,Inscribed,,,Gupta,C. 4th Century CE,,Not Known,7.6102 gram,Lyrist Type Coin of Samudragupta depicts king and Goddess Lakshmi.,Lyrist Type Coin of Samudragupta depicts king and Goddess Lakshmi.,"King nimbate, to left, wearing short dhoti, close fitting peal bordered cap, necklace, seated cross legged on cushioned couch, slightly sloping towards right side. The fingers of his right hand play the lute which lays on his lap.   Only ""Gupta"" in Brahmi script is visible while the rest is not visible. Letters of Gupta is beginning from 11","Goddess (Lakshmi?) nimbate, seated to left on a wicker stool, wearing sari, Kanchuki, earrings, necklace and bangles. Left hand resting on the waist. She holds a pasa (noose) in the right outstretched but bent hand, and a cornucopia in the left resting on the waist. Border of dots all around. No symbol. Legend on the right separated from the goddess by a line.""Samudraguptah"".",,2.2 cm,,,,,
Lyrist Type Coin,AM-GC-97.93,Lyrist Type Coin of Samudragupta,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Gupta,C. 4th Century CE,,Not Known,6.3430 gram,Lyrist Type Coin of Samudragupta depicts King and Goddess Lakshmi.,Lyrist Type Coin of Samudragupta depicts king and Goddess Lakshmi.,"King seated to left, playing on a lute, laying in his lap, blurred and highly defaced. No legend is available.","Goddess Lakshmi seated to left with some ornaments, her left hand rests on her waist while the right hand is stretched out. Legend ""Samudraguptah"" written on the edge of the coin at right.",,2 cm,,,,,
Archer Type Coin,AM-GC-97.94,Archer Type Coin of Chandragupta II,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Gupta,C. 4th Century CE,,Not Known,7.8390 gram,Archer Type Coin of Chandragupta II depicts King and Goddess Lakshmi.,Archer Type Coin of Chandragupta II depicts King and Goddess Lakshmi.,"King to left, nimbate, standing, holding bow at the top in the left hand, string inwards and arrow in the right hand. Garuda standard to left behind King's right hand. King wears a coat and dhoti reaches the ankles. Under the left arm written vertically ""Chandra"". Circular legend in partly visible.","Lakshami, nimbate, wearing necklace earrings and bangles, seated on lotus, facing front, holding a noose in the right hand and a lotus with long stalk in the left hand. The right hand extended and slightly bent, left hand rests on the knees. Symbol in the left. Legend on the right ""Srivikramah"".",,1.9 cm,,,,,
Archer Type Coin,AM-GC-97.95,Archer Type Coin of Chandragupta II,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Gupta,C. 4th Century CE,,Not Known,7.43 gram,Archer Type Coin of Chandragupta II depicts King and Lakshmi.,Archer Type Coin of Chandragupta II depicts King and Lakshmi.,"King to left, nimbate standing holding bow at the top in the left hand, arrow in the right hand. Garuda standard at left behind the right hand . Legend ""Chandra"" written under the left arm.","Lakshmi nimbate, wearing necklace, earrings, bangles, seated on lotus facing front, holding noose in the right hand. Right hand extended and slightly bent. Left hand rests on the knees. Symbol in the left. Legend on the right ""Srivikrama"".",,1.9 cm,,,,,
Archer Type Coin,AM-GC-97.97,Archer Type Coin of Chandragupta II,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Gupta,C. 4th Century CE,,Not Known,7.79 gram,Archer Type Coin of Chandragupta II depicts King and Goddess Lakshmi.,Archer Type Coin of Chandragupta II depicts King and Goddess Lakshmi.,"King to left standing holding bow in his left hand, with inward strings. Right hand stretched out and bent. Garuda standard behind the right hand. Under the arm vertically written ""Chandra"". Circular legend ""Deva Sri Mhah.."" begins from 1.","Lakshmi nimbate, wearing ornaments and holding a noose in her out stretched right hand. In her left hand she is holding a lotus with long stalk. Symbol at the left above the right hand. Legend at the right end ""Sri Vikrama"".",,1.9 cm,,,,,
Arabic Legends Coins,AM-GC-99.03,Arabic Legends Coins of Akbar,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Mughal,C. 15th-16th Century,,Not Known,10.38 gram,There is a struck mark on the coin.,There is a struck mark on the coin.,,,,1.9 cm,,,,,
Zodiac Sign Type Coin,AM-GC-99.20,Zodiac Sign Type Coin of Jahangir,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Mughal,C. 16th-17th Century CE,,Agra,,Zodiac Sign Type Coin of Mughal badshah Jahangir.,Zodiac Sign Type Coin of Mughal badshah Jahangir.,Bull depicted on it.,Legend,,1.9 cm,,,,,
Half Sovereign of Queen Victoria,AM-GC-99.21,Half Sovereign of Queen Victoria,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,British Monarchy,C. 19th Century CE,,Not Known,,One gold half Sovereign (Ginni).,One gold half Sovereign (Ginni).,,,,1.9 cm,,,,,
