Period / Year of Work,C. 11th Century CE
Mint,Not Known
Weight,4.0076 gram
Dimensions,1.7 cm
Brief Description,Seated Goddess Type Coin (Debased Gold) of Mahipala Deva depicts four armed goddess and proto nagari legend.
Detailed Description,Seated Goddess Type Coin (Debased Gold) of Mahipala Deva depicts four armed goddess and proto nagari legend.
Coin Description Obverse,Four armed goddess seated. Small and thick.
Coin Description Reverse,"Proto Nagari legend of two lines. 1. """"Sri Ma Ma"""" 2. """"Hi Pal"""" 3. """"Deva""""."
Title,Seated Goddess Type Coin
Accession Number,AM-GC-96.56
Title2,Seated Goddess Type Coin of Hallakshan Varman
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Chandela
Period / Year of Work,C. 11th Century CE
Mint,Not Known
Weight,4.0174 gram
Dimensions,1.8 cm
Brief Description,Seated Goddess Type Coin of Hallakshan Varman depicts four armed goddess and proto nagari legend.
Detailed Description,Seated Goddess Type Coin of Hallakshan Varman depicts four armed goddess and proto nagari legend.
Coin Description Obverse,Four armed goddess seated.
Coin Description Reverse,"Proto Nagari legend of three lines. 1. ""Sri M Ha"" 2. ""Llakashna (va)"" 3. ""(Ma) Diva'."
Title,Seated Goddess Type Coin (Debased Gold)
Accession Number,AM-GC-96.57
Title2,Seated Goddess Type Coin of Hallakshan Varman
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Chandela
Period / Year of Work,C. 11th Century CE
Mint,Not Known
Weight,1.0200 gram
Dimensions,1.15 cm
Brief Description,Seated Goddess Type Coin (Debased Gold) of Hallakshan Varman depicts four armed goddess and proto nagari legend.
Detailed Description,Seated Goddess Type Coin (Debased Gold) of Hallakshan Varman depicts four armed goddess and proto nagari legend.
Coin Description Obverse,Four armed goddess seated. Quarter size coin.
Coin Description Reverse,"Proto Nagari legend of three lines. 1. """"Sri M Ha"""" 2. """"Kashana """" 3.  """"(Ma) Diva""""."
Title,Seated Goddess Type Coin
Accession Number,AM-GC-96.58
Title2,Seated Goddess Type Coin of Madan Verma Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Chandela
Period / Year of Work,C. 12th Century
Mint,Not Known
Weight,0.9940 gram
Dimensions,1.05 cm
Brief Description,Seated Goddess Type Coin of Madan Verma Deva depicts Four armed goddess and proto nagari legend.
Detailed Description,Seated Goddess Type Coin of Madan Verma Deva depicts Four armed goddess and proto nagari legend.
Coin Description Obverse,Four armed goddess seated. Quarter size coin.
Coin Description Reverse,"Proto Nagari legend of three lines. 1. """"Sri Ma da"""" 2.""""Da n va"""" 3. """"(Diva)"""""
Title,Seated Goddess Type Coin
Accession Number,AM-GC-96.59
Title2,Seated Goddess Type Coin of Madan Verma Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Chandela
Period / Year of Work,C. 12th Century CE
Mint,Not Known
Weight,0.9330 gram
Dimensions,1.15 cm
Brief Description,Seated Goddess Type Coin of Madan Verma Deva depicts four armed goddess and proto nagri legend.
Detailed Description,Seated Goddess Type Coin of Madan Verma Deva depicts four armed goddess and proto nagri legend.
Coin Description Obverse,Four armed goddess seated. Quarter size coin.
Coin Description Reverse,"Proto Nagari legend of two lines. 1.""""Sri Ma (da)"""" 2. """"Da n va (ma)""""."
Title,Seated Goddess Type Coin
Accession Number,AM-GC-96.64
Title2,Seated Goddess Type Coin of Parmardi
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Chandela
Period / Year of Work,C. 12th Century CE
Mint,Not Known
Weight,4.0135 gram
Dimensions,1.8 cm
Brief Description,Seated Goddess Type Coin of Parmardi depicts Four armed goddess and proto nagari lagend.
Detailed Description,Seated Goddess Type Coin of Parmardi depicts Four armed goddess and proto nagari lagend.
Coin Description Obverse,Four armed goddess seated.
Coin Description Reverse,"Proto Nagari legend of two lines. 1. """"Sri Ma pa"""" 2. """"(R)? Ma Di""""."
Title,Seated Goddess Type Coin (Debased Gold)
Accession Number,AM-GC-96.65
Title2,Seated Goddess Type Coin of Parmardi
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Chandela
Period / Year of Work,C. 12th Century CE
Mint,Not Known
Weight,0.9370 gram
Dimensions,1.2 cm
Brief Description,Seated Goddess Type Coin (Debased Gold) depicts goddess and proto nagari legend.
Detailed Description,Seated Goddess Type Coin (Debased Gold) depicts goddess and proto nagari legend.
Coin Description Obverse,Goddess seated. Quarter size coin.
Coin Description Reverse,"Proto Nagari legend of two lines. 1. """"(Sri) pa (M)"""" 2.""""(Da) Di (Di)"""".  """"(Sri Mad Parmardi Deva)""""."
Title,Seated Goddess Type Coin
Accession Number,AM-GC-96.66
Title2,Seated Goddess Type Coin of Parmardi
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Chandela
Period / Year of Work,C. 12th Century CE
Mint,Not Known
Weight,0.9880 gram
Dimensions,1.2 cm
Brief Description,Seated Goddess Type Coin of Parmardi depicts four armed goddess and proto nagari legend.
Detailed Description,Seated Goddess Type Coin of Parmardi depicts four armed goddess and proto nagari legend.
Coin Description Obverse,Four armed goddess seated. Quarter size coin.
Coin Description Reverse,"Proto Nagari legend of two lines. 1.""""(Sri) Ma (pa)"""" 2.""""(Ra) Ma (Di) """". """"(Sri Mad Parmardi Deva)""."
Title,Seated Goddess Type Coin (Debased Gold)
Accession Number,AM-GC-96.67
Title2,Seated Goddess Type Coin of Veer Varman Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Alloy
Component Material II,Gold
Medium,Alloy of Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Chandela
Period / Year of Work,C. 12th Century CE
Mint,Not Known
Weight,3.9894 gram
Dimensions,1.8 cm
Brief Description,Seated Goddess Type Coin (Debased Gold) of Veer Varman Deva depicts Four armed goddess and proto nagari legend.
Detailed Description,Seated Goddess Type Coin (Debased Gold) of Veer Varman Deva depicts Four armed goddess and proto nagari legend.
Coin Description Obverse,Four armed seated goddess.
Coin Description Reverse,"Proto Nagari legend of three lines. 1. ""Sri Ma vi"" 2. ""Ra va (R) Mma"" 3. ""Ra deva""."
Title,Seated Goddess Type Coin (Debased Gold)
Accession Number,AM-GC-96.68
Title2,Seated Goddess Type Coin of Kirtivarman Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Alloy of Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Chandela
Period / Year of Work,C. 11th Century CE
Mint,Not Known
Weight,1.0170 gram
Dimensions,1.2 cm
Brief Description,Seated Goddess Type Coin (Debased Gold) of Kirtivarman Deva depicts four armed goddess and proto nagari legend.
Detailed Description,Seated Goddess Type Coin (Debased Gold) of Kirtivarman Deva depicts four armed goddess and proto nagari legend.
Coin Description Obverse,Four armed seated goddess. Quarter size coin.
Coin Description Reverse,"Proto Nagari legend of two lines. 1. """"(Sri) ma ke"""" 2.""""RRiti Va Ma""""."
Title,Seated Goddess Type Coin (Debased Gold)
Accession Number,AM-GC-96.69
Title2,Seated Goddess Type Coin of Kirtivarman Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Alloy of Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Chandela
Period / Year of Work,C. 11th Century CE
Mint,Not Known
Weight,0.9990 gram
Dimensions,1.2 cm
Brief Description,Seated Goddess Type Coin (Debased Gold) of Kirtivarman Deva depicts four armed goddess and proto nagari legend.
Detailed Description,Seated Goddess Type Coin (Debased Gold) of Kirtivarman Deva depicts four armed goddess and proto nagari legend.
Coin Description Obverse,Four armed seated goddess. Quarter size coin.
Coin Description Reverse,"Proto Nagari legend of two lines. 1. """"Sri ma ki"""" 2. """"RRiti Va Ma (De)""""."
Title,Seated Goddess Type Coin (Debased Gold)
Accession Number,AM-GC-96.70
Title2,Seated Goddess Type Coin of Kirtivarman Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Alloy of Gold
Manufacturing Technique,Casting
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Chandela
Period / Year of Work,C. 11th Century CE
Mint,Not Known
Weight,2.0300 gram
Dimensions,1.4 cm
Brief Description,Seated Goddess Type Coin (Debased Gold) of Kirtivarman Deva depicts four armed goddess and proto nagari legend.
Detailed Description,Seated Goddess Type Coin (Debased Gold) of Kirtivarman Deva depicts four armed goddess and proto nagari legend.
Coin Description Obverse,Four armed seated goddess. Half size coin.
Coin Description Reverse,"Proto Nagari legend of two lines. 1. """"Sri mad ki"""" 2. """"RRiti Va Ma De""""."
Title,Seated Goddess Type Coin (Debased Gold)
Accession Number,AM-GC-96.72
Title2,Seated Goddess Type Coin of Govindachandra Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Alloy
Medium,Alloy of Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Gahadvala Dynasty of Kannauj
Period / Year of Work,C. 12th Century CE
Mint,Not Known
Weight,3.8924 gram
Dimensions,2.1 cm
Brief Description,Seated Goddess Type Coin (Debased Gold) of Govindachandra Deva depicts four armed goddess and proto nagari legend.
Detailed Description,Seated Goddess Type Coin (Debased Gold) of Govindachandra Deva depicts four armed goddess and proto nagari legend.
Coin Description Obverse,Four armed seated goddess.
Coin Description Reverse,"Proto Nagari legend of two lines. 1.""""Sri mad ga"""" 2. """"Vi Da Cha Da"""".  ""Sri Mad Govind Chandra Deva"""". Copper contents are much than gold."
Title,Seated Goddess Type Coin (Debased Gold)
Accession Number,AM-GC-96.74
Title2,Seated Goddess Type Coin of Govindachandra Deva
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Alloy of Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Gahadvala Dynasty of Kannauj
Period / Year of Work,C. 12th Century CE
Mint,Not Known
Weight,1.0960 gram
Dimensions,1.15 cm
Brief Description,Seated Goddess Type Coin (Debased Gold) of Govindachandra Deva four armed goddess and proto nagari legend.
Detailed Description,Seated Goddess Type Coin (Debased Gold) of Govindachandra Deva four armed goddess and proto nagari legend.
Coin Description Obverse,Four armed seated goddess. Quarter size coin.
Coin Description Reverse,"Proto Nagari legend of two lines. 1.""Sri mad ga"" 2.""Vinda Cha da""."
Title,Seated Goddess Type Coin (Debased Gold)
Accession Number,AM-GC-96.76
Title2,Seated Goddess Type Coin of Mohammed Bin Sam
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Alloy of Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Ghorid
Period / Year of Work,C. 12th Century CE
Mint,Not Known
Weight,4.2020 gram
Dimensions,2.1 cm
Brief Description,Seated Goddess Type Coin (Debased Gold) of Mohammed Bin Sam depicts Four armed goddess and proto nagari legend.
Detailed Description,Seated Goddess Type Coin (Debased Gold) of Mohammed Bin Sam depicts Four armed goddess and proto nagari legend.
Coin Description Obverse,Four armed seated goddess Lakshmi. Lower part of the coin is hammered.
Coin Description Reverse,"Proto Nagari legend of three lines. 1.""""Sri mu (hammed)"""" 2. """"Ma da vi"""" 3.""""Sam""""."
Title,Zodiac Sign Type Coin
Accession Number,AM-GC-96.77
Title2,Zodiac Sign Type Coin of Jahangir
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Mughal
Period / Year of Work,C. 16th Century CE
Mint,Not Known
Weight,11.9710 gram
Dimensions,2.1 cm
Brief Description,Zodiac Sign Type Coin of Jahangir depicts Bull and persian legend.
Detailed Description,Zodiac Sign Type Coin of Jahangir depicts Bull and persian legend.
Coin Description Obverse,Bull standing to left within a circle.
Coin Description Reverse,"Persian legend of four lines. """"Akbar Shah ay Jahangir Shah 1028 A.H. 14 zalus Agara dad, dar Agara Rua Zar Jiwar""""."
Title,Zodiac Sign Type Coin
Accession Number,AM-GC-96.78
Title2,Zodiac Sign Type Coin of Jahangir
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Mughal
Period / Year of Work,C. 16th Century CE
Mint,Not Known
Weight,10.8920 gram
Dimensions,2 cm
Brief Description,Zodiac Sign Type Coin of Jahangir depicts man standing and Persian legend.
Detailed Description,Zodiac Sign Type Coin of Jahangir depicts man standing and Persian legend.
Coin Description Obverse,Man standing facing front holding pitcher on his head.
Coin Description Reverse,"Persian legend of four lines. """"Akbar Shah ay Jahangir Shah, dar Agara Rua zor ziwar gulas 16,  1031 A.H""""."
Title,Elephant Rider and Slayer Type Coin
Accession Number,AM-GC-96.79
Title2,Elephant Rider and Slayer Type Coin of Kumargupta I
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Gupta
Period / Year of Work,C. 4th Century CE
Mint,Not Known
Weight,8.1710 gram
Dimensions,1.9 cm
Brief Description,Elephant Rider and Slayer Type Coin of Kumargupta I depicts Elephant Rider and Slayer and goddess lakshmi.
Detailed Description,Elephant Rider and Slayer Type Coin of Kumargupta I depicts Elephant Rider and Slayer and goddess lakshmi.
Coin Description Obverse,"Elephant Rider and Slayer Type Coin of Kumargupta Iwith an attendant and trampling on a lion at right near elephant trunk. Circular legend rather uncertain, but most probably ""Kshatari pu Kumargupta rajatrata jagati ripan""."
Coin Description Reverse,"Within dotted circle Lakshmi nimbate, standing facing left towards peacock and holding in right hand some indistinct object before the peacock which is looking up towards it. Left hand rests on waist. The goddess is wearing a Sari tied round the waist and upper garments. No symbol. Legend partly on left and partly on right. ""Singhanihanta...""."
Title,Elephant Pagoda Type Coin
Accession Number,AM-GC-97.48
Title2,Elephant Pagoda Type Coin
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Kongani
Period / Year of Work,C. 8th-12th Century CE
Mint,Not Known
Weight,3.7480 gram
Dimensions,1.4 cm
Brief Description,Elephant Pagoda Type Coin depicts Elephant and A scroll decoration.
Detailed Description,Elephant Pagoda Type Coin depicts Elephant and A scroll decoration.
Coin Description Obverse,Elephant standing to right with heavy dotted decoration on its body.
Coin Description Reverse,A scroll decoration.
Title,Legend and Symbol Type Coin (Debased Gold)
Accession Number,AM-GC-97.49
Title2,Legend and Symbol Type Coin
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Mithila Rulers
Period / Year of Work,C. 14th-16th Century CE
Mint,Not Known
Weight,0.9000 gram
Dimensions,1.9 cm
Brief Description,Legend and Symbol Type Coin depicts nagari legend and symbol.
Detailed Description,Legend and Symbol Type Coin depicts nagari legend and symbol.
Coin Description Obverse,"Nagari """"Sri"""" is written."
Coin Description Reverse,A symbol is depicted.
Title,Standing King Type Coin
Accession Number,AM-GC-97.89
Title2,Standing King Type Coin of Vasudeva II
Museum Name,"Allahabad Museum, Allahabad"
Gallery Name,NA
Object Type,Coin
Main Material,Gold
Medium,Gold
Manufacturing Technique,Casting
Main Artist,Not Known
Artist's Nationality,Indian
Artist's Life Date / Bio Data,Not Known
Country,India
Origin Place,Not Known
Find Place,Not Known
Scribe,Inscribed
Patron/Dynasty,Kushana
Period / Year of Work,C. 3rd Century CE
Mint,Not Known
Weight,7.781 gram
Dimensions,2.1 cm
Brief Description,Standing King Type Coin of Vasudeva II depicts king and God Shiva.
Detailed Description,Standing King Type Coin of Vasudeva II depicts king and God Shiva.
Coin Description Obverse,King standing on altar holding a trident in his right hand and a spear in the upraised left hand. Face rubbed or hammered. Bactrian legend not visible.
Coin Description Reverse,"God Shiva standing before the bull, holding trident in his left hand, rosary (pasa?) in right above the head of bull. Symbol above the right hand. Legend ""Oeso""."
Title,Archer Type Coin
Accession Number,AM-GC-97.90
Title2,Archer Type Coin of Kumargupta I
