Title,Accession Number,Museum Name,Object Type,,Medium,,Main Artist,,Artist's Nationality,,Artist's Life Date / Bio Data,,Country,,Inscription,,Dimensions,,Brief Description,,Detailed Description,,Period / Year of Work,,Gallery Name,,Main Material,,Component Material II,,Origin Place
"Huts and trees, Bodhgaya",ngma-04285,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Signed 'Ramkinkar' in Bengali in the bottom-left corner of the sketch.,,,,"Ramkinkar deep felt love and oneness with nature could be
seen in his vigorously painted and sculpted images of the animals, birds, flora
and fauna in his surroundings. In this painting, he has depicted a landscape
with huts and trees, rendered with dabs and dashes of watercolour merging
together in tonal variation and fluid strokes of ink delineating the forms and
adding grace to the composition.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main point of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for is manifested brilliantly in his paintings and sketches. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,
A Boat and the Waves,ngma-04287,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,,,,,,,,,,,,,,,,,
A Landscape,ngma-04289,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,,,,,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main points of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for is manifested brilliantly in his paintings and sketches. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,,,
Abstract Shapes,ngma-04290,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,,,,,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main points of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for is manifested brilliantly in his paintings and sketches. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,,,
An Abstract Composition,ngma-04291,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,,,,,,,,,,,,,,,,,
Two Figures,ngma-04292,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,,,,,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main points of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for is manifested brilliantly in his paintings and sketches. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,,,
A Girl amidst bushes,ngma-04293,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Signed 'Ramkinkar' and dated '31.12.51' in English in the bottom-right corner of the painting.,,27.8 x 37.8 cm,,"Ramkinkar Baij selected images for his sculptors and paintings from his
rural surroundings. The poor and the downtrodden figured primarily as his
subjects. Baij's watercolours mostly reflects his preoccupation with nature and the
animal world. His work is characterized by tremendous energy, dynamism and the use of
earthy colours. In the above painting, the artist has depicted a girl amidst
bushes with dabs and
dashes of watercolour in tonal variation delineating the form.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main point of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for, is manifested brilliantly in his watercolours. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,1951,,,,,,,,
Trees and Hills,ngma-04296,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,,,,,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main points of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for is manifested brilliantly in his paintings and sketches. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,,,
A Landscape,ngma-04297,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,,,,,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main points of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for is manifested brilliantly in his paintings and sketches. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,,,
Trees,ngma-04299,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,,,,,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main points of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for is manifested brilliantly in his paintings and sketches. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,,,
Binodini,ngma-04300,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Signed 'Ramkinkar' in Bengali in the top-right corner of the painting.,,18.3 x 27.4 cm,,"Ramkinkar Baij selected images for his sculptors and paintings from his
rural surroundings. The poor and the downtrodden figured primarily as his
subjects. Baij's watercolours mostly reflects his preoccupation with nature and the
animal world. His work is characterized by tremendous energy, dynamism and the use of
earthy colours. In the above painting, the artist has depicted a sketch of
Binodini sitting on the floor with dabs and dashes of watercolour in tonal variation delineating the
form. Binodini was one of the frequent images in Baij's works
with gracious presence.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main point of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for, is manifested brilliantly in his watercolours. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,
"A Landscape, Nepal",ngma-04301,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Signed 'Ramkinkar' in Bengali in the bottom-right corner of the painting. There is an inscription in Bengali that can be translated as 'Bipasha' (referring to the name of the river).,,24.9 x 17.7 cm,,"Ramkinkar Baij selected images for his sculptors and paintings from his rural surroundings. The poor and the downtrodden figured primarily as his subjects. Baij's watercolours mostly reflects his preoccupation with nature and the animal world. His work is characterized by tremendous energy, dynamism and the use of earthy colours. In the above painting, the artist depicts a landscape rendered with dabs and dashes of watercolour in tonal variation delineating the form.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main point of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for, is manifested brilliantly in his watercolours. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,
"Two Horses And The Cart, Bodhgaya",ngma-04302,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Vaij,,Indian,,,,India,,,,24.8x17.6cm,,"Ramkinker's sketches, much like the quality of his sculptures are earthy and dynamic.  They reflect a keen observer's eye through the quick but a detailed observations in them.  His watercolour renderings are sketchy in nature but have the quality of a detailed documented visual reflection.  This watercolour of his is a sketch of the horses grazing in front of the cart kept at rest.",,,,,,,,,,,,
Trees,ngma-04306,"National Gallery of Modern Art, New Delhi",Painting,,Watercolor on Paper,,Ramkinkar Baij,,Indian,,"Ramkinkar Baij, one of the most seminal artists of modern India, was an iconic sculptor, painter and graphic artist. Ramkinkar Baij (1906-1980) was born in Bankura, West Bengal, into a family of little economic and social standing and grew by his sheer determination into one of the most distinguished early modernists of Indian art. In 1925, he made his way to Kala Bhavana, the art school at Santiniketan and was under the guidance of Nandalal Bose. Encouraged by the liberating, intellectual environment of Santiniketan, his artistic skills and intellectual horizons blossomed, thus acquiring greater depth and complexity. Soon after completing his studies at Kala Bhavana he became a faculty member, and along with Nandalal Bose and Benodebehari Mukherjee played a pivotal role in making Santiniketan one of the most important centres for modern art in pre-Independent India. In 1970, the Government of India honoured him with the Padma Bhushan for his irrefutable contribution to Indian art. Ramkinkar's monumental sculptures are established landmarks in public art. One of the earliest modernists in Indian art, he assimilated the idioms of the European modern visual language and yet was rooted in his own Indian ethos. He experimented restlessly with forms, moving freely from figurative to abstract and back to figurative, his themes were steeped in a deep sense of humanism and an instinctive understanding of the symbiotic relationship between man and nature. Both in his paintings and sculptures, he pushed the limits of experimentation and ventured into the use of new materials. For instance, his use of unconventional material, for the time, such as cement concrete for his monumental public sculptures set a new precedent for art practices. The use of cement, laterite and mortar to model the figures, and the use of a personal style in which modern western and Indian pre-classical sculptural values were brought together was equally radical.",,India,,Signed 'Ramkinkar' in Bengali in the bottom-right corner of the painting.,,11.5 x 16.2 cm,,"Ramkinkar Baij selected images for his sculptors and
paintings from his rural surroundings. The poor and the downtrodden figured
primarily as his subjects. Baij's
watercolours mostly reflect his preoccupation with nature and the animal world.
His work is characterized by tremendous
energy, dynamism and the use of earthy colours.
In the above painting, the artist has depicted a grove of trees with dabs and
dashes of watercolour in tonal variation delineating the form.",,"Ramkinkar Baij was a reclusive modernist artist who always remained on the fringes of the art market. He took a great interest in human figures, body language and in the general human drama. Modern Western art and pre and post-classical Indian art were his main point of reference. Although primarily known for his expressionistic sculpture, he was also a gifted painter. The sense of rhythm that his sculpture was noted for, is manifested brilliantly in his watercolours. His works in the Kalighat tradition interconnected with Cubism to achieve an unusual personal idiom. Both his sculpture and his paintings are unprompted and bold.",,,,,,,,,,
